class	label	URI	parent_class	parent_label	parent_URI	OBI:example_of_usage	OBI:editor_note	OBI:definition
acclimating_subject	Acclimating subject	http://obi.sourceforge.net/ontology/OBI.owl	potential_study_participant		http://obi.sourceforge.net/ontology/OBI.owl	Fish captured in the wild being acclimated to the housing conditions of the laboratory; lab animals being temporally progressed so that their night occurs during normal daylight hours		Acclimating potential subject is a potential subject kept in controlled physical conditions prior to the study
administrative_unit	Administrative unit	http://obi.sourceforge.net/ontology/OBI.owl	study_personnel		http://obi.sourceforge.net/ontology/OBI.owl			Administrative unit is a study personnel role consisting of scientific and support personnel who are engaged in carrying out a biomedical or biological investigation and are members of a biomedical organization such as a hospital.  This role occurs during the study timeline although the biomedical organization and membership exists before and after the study.  
animal_care_technician	Animal care technician	http://obi.sourceforge.net/ontology/OBI.owl	worker		http://obi.sourceforge.net/ontology/OBI.owl			Animal care technician is a worker role involved in day-to-day care of lab animals; this role occurs before and during the study
antibody	Antibody	http://obi.sourceforge.net/ontology/OBI.owl	reagent		http://obi.sourceforge.net/ontology/OBI.owl	goat anti-biotin		Antibody is a reagent role played by material characterized by being or being derived from an immunoglobulin protein with the capability to recognize and bind to a biological molecule
antigen	Antigen	http://obi.sourceforge.net/ontology/OBI.owl	reagent		http://obi.sourceforge.net/ontology/OBI.owl	biotin		Antigen is a reagent played by material which when introduced into an immune-competent organism causes an immune response
assessment	Assessment	http://obi.sourceforge.net/ontology/OBI.owl	conclusion		http://obi.sourceforge.net/ontology/OBI.owl			Assessment is a conclusion derived from the processes used to learn about a patient's condition.  In part from NCI
baseline_participant	Baseline participant	http://obi.sourceforge.net/ontology/OBI.owl	reference_participant		http://obi.sourceforge.net/ontology/OBI.owl	Subject at time = 0; subject before a stress test.		Baseline participant is a reference participant at the start of the study or which is unperturbed; used to measure differences in qualities of a subject at rest and one which has received treatment or a test.
baseline_value	Baseline value	http://obi.sourceforge.net/ontology/OBI.owl	control_value		http://obi.sourceforge.net/ontology/OBI.owl	Value of a test measuring a subject at time 0, or at rest		Baseline value is a reference value produced by a measurement or observation of a study participant at rest or prior to the study
biologic	Biologic	http://obi.sourceforge.net/ontology/OBI.owl	intervention_variable		http://obi.sourceforge.net/ontology/OBI.owl	Test of investigational drug	CDISC: variable. 1. Any quantity that varies; any attribute, phenomenon or event that can have different qualitative or quantitative values. 2. In SDTM variables are used to describe observations. Such describing variables have roles that determine the type of information conveyed by the variable about each observation and how it can be used; FCR: Variables concepts that can be assigned values and thus must be defined operationally by the methods for measuring or evaluating them; CDISC: study variable. A term used in trial design to denote a variable to be captured on the CRF. See also variable, supporting variable	Biologic is an intervention variable in which the varying parameter is a drug or investigational compound
biological_feature_identification_objective	biological_feature_identification_objective	http://obi.sourceforge.net/ontology/OBI.owl	objective		http://obi.sourceforge.net/ontology/OBI.owl			Biological_feature_identification_objective is an objective role carried out by the proposition defining the aim of a study designed to examine or characterize a particular biological feature.
