class	label	URI	parent_class	parent_label	parent_URI	j.0:example_of_usage	j.0:editor_note	j.0:definition_editor	j.0:definition_editor	j.0:definition
dot_plot	dot plot	http://obi.sourceforge.net/ontology/OBI.owl	report_graph		http://obi.sourceforge.net/ontology/OBI.owl	Dot plot of SSC-H and FSC-H.	generically_dependent_continuants	PERSON:Chris Stoeckert	PERSON:Allyson	A dot plot is a report graph which is a graphical representation of data where each data point is represented by a single dot placed on coordinates corresponding to data point values in particular dimensions.
digital_document	digital document	http://obi.sourceforge.net/ontology/OBI.owl	digital_entity		http://obi.sourceforge.net/ontology/OBI.owl			PERSON:Jennifer Fostel		A digital document is a digital entity consisting of an electronic file which can be rendered into human-readable form by one or more computational applications.  The digital document does not refer to the information content of the document but to an instance of the file.
patent_content	patent content	http://obi.sourceforge.net/ontology/OBI.owl	narrative_object		http://obi.sourceforge.net/ontology/OBI.owl		need to distinguish the patent submission (which I think the term refers to) and the patent itself, which is what confers the rights. (Alan) Renamed from patent to patent submission. [Isn't the submission like a recipe, i.e. a realizable information entity, in that it tells you how to do something? no] Cristian: what is the difference b/w some document that has been patented, and the same document that has not been patented? The (informational) content is the same. It is just that the former has been encapsulated within some social mechanism, hence it has acquired some role. Hence 'patent' is a role.	PERSON:Chris Stoeckert		A patent content is a report for the purpose of obtaining a license from a government conferring for a set period the sole right to make, use, or sell some process or invention
OBI_305	datum	http://obi.sourceforge.net/ontology/OBI.owl	information_content_entity		http://obi.sourceforge.net/ontology/OBI.owl	Examples of data are the recoding of the weight of a mouse, the recording of an observation of the behavior of the mouse, the recording of the expression level of a gene as measured through the process of microarray experiment. Instance level information is information describing a specific instance of an entity	was measurement. (alan) Is this the old quantitative value? If so need to change cardinal part of stuff. I think the value and units should be on special relations and that the value should not be a BFO entity.	PERSON:Chris Stoeckert		A datum is an information content entity that is a recording of the output of a measurement such as produced by an instrument.
programming_language	programming language	http://obi.sourceforge.net/ontology/OBI.owl	OBI_344		http://obi.sourceforge.net/ontology/OBI.owl	R, Perl, Java		PERSON:Chris Stoeckert	PERSON:Alan Ruttenberg	A language in which source code is written, intended to executed/run by a software interpreter. Programming languages are ways to write instructions that specify what to do, and sometimes, how to do it. 
information_content_entity	information content entity	http://obi.sourceforge.net/ontology/OBI.owl	non-realizable_information_entity		http://obi.sourceforge.net/ontology/OBI.owl	Examples of information content entites include journal articles, data, graphical layouts, and graphs.	information_content_entity 'is_encoded_in' some digital_entity in obi before split (040907). information_content_entity 'is_encoded_in' some physical_document in obi before split (040907).	PERSON:Chris Stoeckert		An information content entity is a non-realizable information entity that 'is encoded in' some digital or physical entity.
report_display_element	report display element	http://obi.sourceforge.net/ontology/OBI.owl	narrative_object		http://obi.sourceforge.net/ontology/OBI.owl		There will be some issue here about whether these are defined classes. As intended these are meant to denote the parts of the report that are not textual but are typically boxed and set within the text, labelled with some identifier, and referred to in the text	PERSON:Allyson Lister	PERSON:Alan Ruttenberg	A report display element is a narrative object that is part of a report. Report display elements are set off from the textual parts of a report and are typically given a label(e.g. Figure 2) which is used to refer to the element from the text. Typically the 2d layout is part of the identity of such elements.
measured_expression_level	measured expression level	http://obi.sourceforge.net/ontology/OBI.owl	OBI_305		http://obi.sourceforge.net/ontology/OBI.owl	Examples are quantified data from an expression microarray experiment, PCR measurements, etc.		PERSON:Chris Stoeckert		A measured expression level is a datum that is the outcome of the quantification of an assay for the activity of a gene, or the number of RNA trancsripts.
electronic_case_report_form	electronic case report form	http://obi.sourceforge.net/ontology/OBI.owl	digital_document		http://obi.sourceforge.net/ontology/OBI.owl			PERSON:Jennifer Fostel		An electronic case report form is a digital document used to record all of the protocol required information to be reported for each trial subject. An eCRF has the property that it can be audited and compliant with requirements of 21 CFR Part 11.
eSource_document	eSource document	http://obi.sourceforge.net/ontology/OBI.owl	digital_document		http://obi.sourceforge.net/ontology/OBI.owl			PERSON:Jennifer Fostel		an eSource document is a digital document consisting of a logical collection of Source data and other eSource documents that can be presented in an ordered way and capture the time of completion, change, and any signatures
report_figure	report figure	http://obi.sourceforge.net/ontology/OBI.owl	report_display_element		http://obi.sourceforge.net/ontology/OBI.owl		I prepended the 'report ' to make it clear that we mean parts of reports here. We may want a more generic version of 'figure', in which case this would become a defined class - figure and part_of some report	PERSON:Allyson Lister	PERSON:Alan Ruttenberg	A report figure is a report display element that has some aspect of illustration, but may be a composite of figures, images, and other elements
non-realizable_information_entity	non-realizable information entity	http://obi.sourceforge.net/ontology/OBI.owl				An essay on the history of the euro. Contrast: A recipe to bake a bread	top level	PERSON:Alan Ruttenberg		A non-realizable information entity is a generically dependent continuant which conveys meaning that can be communicated but whose meaning does necessarily imply that some process might follow from that meaning.
p-value	p-value	http://obi.sourceforge.net/ontology/OBI.owl	quantitative_confidence_value		http://obi.sourceforge.net/ontology/OBI.owl		ask data transformation. Are they thinking about this too? What is this, in reality. Quality of the measurement? Quality of a population of measurements? Issue: How to avoid having numbers being an easy way to miss connections with reality	PERSON:Chris Stoeckert		A p-value is a quantitative confidence value which represents the probability of obtaining a result at least as extreme as that actually obtained, assuming that the actual value was the result of chance alone.
image	image	http://obi.sourceforge.net/ontology/OBI.owl	information_content_entity		http://obi.sourceforge.net/ontology/OBI.owl			PERSON:Chris Stoeckert	PERSON:Allyson	An image is an information content entity which provides a visual representation of for the result of a measurement.
narrative_object	narrative object	http://obi.sourceforge.net/ontology/OBI.owl	information_content_entity		http://obi.sourceforge.net/ontology/OBI.owl	Examples of narrative objects are reports, journal  articles, and patents submission.	agree - DENRIE. Issue(alan) do we only mean text? What about a story told by mime. Does music count? (no) what about an oral report. Regarding definition, saying it is a set of propositions means we loose the idea that wording matters. Maybe adjust saying a narrative object has some relationshop to a set of propositions	PERSON:Chris Stoeckert		A narrative object is an information content entity that is a set of propositions.
density_plot	density plot	http://obi.sourceforge.net/ontology/OBI.owl	report_graph		http://obi.sourceforge.net/ontology/OBI.owl	Density plot of SSC-H and FSC-H.	generically_dependent_continuants	PERSON:Chris Stoeckert	PERSON:Allyson	A density plot is a report graph which is a graphical representation of data where the tint of a particular pixel corresponds to some kind of function corresponding the the amount of data points relativelly with their distance from the the pixel.
