class	label	URI	parent_class	parent_label	parent_URI	alternative_term	alternative_term	alternative_term	alternative_term	owl:equivalentClass	example_of_usage	definition_citation	definition_citation	alternative_term_tag	rdfs:comment	definition	editor_note	editor_note	editor_note	definition_editor	definition_editor	definition_editor	preferred_term	curation_status	curation_status
OBI_400076	multi-well_plate	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400081		http://obi.sourceforge.net/ontology/OBI.owl						96 well plate, 48 multiwell plate	http://www.nuncbrand.com/page.aspx?ID=301				A partical deliver vessel. A multi-well plate is a vessel that can deliver multiple samples to a flow cytometer in a specified order. It must be used with a plate loader.				John Quinn			multi-well_plate	definition_incomplete	graph_position_temporary
OBI_400102	waste_tank	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400004		http://obi.sourceforge.net/ontology/OBI.owl						LSR2 waste tank	Practical Flow Cytometry 4th Edition, Howard Shapiro, ISBN-10: 0471411256, ISBN-13: 978-0471411253				Part of the fluidics systems. In analyzers the sheath and sample fluid, once analyzed is dumped into a waste tank. The waste tank is where the fluids passing through the cytometer end up after the analysis is finished.				John Quinn			waste_tank	definition_incomplete	graph_position_temporary
OBI_400083	photodiode	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400082		http://obi.sourceforge.net/ontology/OBI.owl						Avalanche photodiode	http://cyto.mednet.ucla.edu/Protocols/flow.htm				A photodiode is a semiconductor photodector used to detect light and generate an electrical current. Typically used in forward scatter (FSC) detection. The photodiode collects the forward light scatter in a cytometer.				John Quinn			photodiode	graph_position_temporary	definition_incomplete
OBI_50	platform	http://obi.sourceforge.net/ontology/OBI.owl	material		http://obi.sourceforge.net/ontology/OBI.owl											A platform is an object_aggregate that is the set of instruments and software needed to perform a process. definition_source: OBI.	rem1: We decided at the Philly workshop that consumables do not include reagents.								
OBI_400061	?jet_in_air_flow_chamber	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400043		http://obi.sourceforge.net/ontology/OBI.owl						Jet-in-air flow chamber in DakoCytomation MoFlo high-speed cell sorter	http://www.flocyte.com/FRTP/Resources/flow_cytometry_glossary.htm				A flow cell in which the cells are pinched off as droplets and allowed to drop through the air. The laser intersects with the cell in mid-air. A jet in air flow chamber allows the laser to intersect with the cells without any intermitent media other than air.	DS: a chamber is not an instrument, its a spatial entity...			John Quinn			jet_in_air_flow_chamber	definition_incomplete	graph_position_temporary
OBI_47	artefact_object	http://obi.sourceforge.net/ontology/OBI.owl	_defined_material		http://obi.sourceforge.net/ontology/OBI.owl						Examples include the siblings of device and other objects such as gel matrices; used in gel electrophoresis, filter paper, parafilm and buffer solutions.	http://www.answers.com/artefact					editor_note pending			Frank Gibson			artefact_object	pending_final_vetting	
OBI_400064	laser	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400065		http://obi.sourceforge.net/ontology/OBI.owl	light amplification by the stimulated emission of radiation					A laser is the most common way to irradiate a cell in a flow cytometer.	John Quinn			http://en.wikipedia.org/wiki/Laser	A laser (acronym for light amplification by the stimulated emission of radiation) is a light source that emits photons of the same characteristics in a coherent beam. A laser uses a solid, liquid or gaseous lasing medium, that conmtains molecules, of which some atoms have electrons that emit photons of the same frequency when falling back to their normal orbital after excitation (pumping) by external means.				Daniel Schober			laser	A laser (acronym for light amplification by the stimulated emission of radiation) is a light source that emits photons in a coherent beam. A laser uses a solid, liquid or gaseous lasing medium, that contains molecules, of which some atoms have electrons that emit photons of the same coherent frequency when falling back to their normal orbital after excitation (stimulation) by external means. A laser is the most common way to irradiate a cell in a flow cytometer.	
OBI_400085	piezo_electric_crystal	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400004		http://obi.sourceforge.net/ontology/OBI.owl						quartz piezoelectric crystal, topaz piezoelectric crystal, piezoelectric crystal in a sonar	http://www.flocyte.com/FRTP/Resources/flow_cytometry_glossary.htm				Apparatus in the fluidic subsystem of sorters that vibrates to break up the stream coming out of the flow chamber into droplets for sorting. The peizo electric crystal vibrates in a manner that breaks off droplets at regular intervals. Not all droplets contain a cell.				John Quinn			piezo_electric_crystal	definition_incomplete	graph_position_temporary
OBI_400107	computer	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400003		http://obi.sourceforge.net/ontology/OBI.owl						Apple PowerBook, Dell OptiPlex	http://en.wikipedia.org/wiki/Computer				A computer is an instrument which manipulates (stores, retrieves, and processes) data according to a list of instructions.				Melanie Courtot	Trish Whetzel		computer	curation_complete	
OBI_400009	arc_lamp	http://obi.sourceforge.net/ontology/OBI.owl	OBI_400065		http://obi.sourceforge.net/ontology/OBI.owl						The Jablochkoff Candle	http://en.wikipedia.org/wiki/Arc_lamp				Arc lamp is a light source  that produces light by an electric arc (or voltaic arc). The lamp consists of two electrodes typically made of tungsten which are separated by a gas. The type of lamp is often named by the gas contained in the bulb; including neon, argon, xenon, krypton, sodium, metal halide, and mercury. The electric arc in an arc lamp consists of gas which is initially ionized by a voltage and is therefore electrically conductive. To start an arc lamp, usually a very high voltage is needed to ignite or strike the arc. This requires an electrical circuit sometimes called an igniter, which is part of a larger circuit called the ballast. The ballast supplies a suitable voltage and current to the lamp as its electrical characteristics change with temperature and time. Older cytometers may use arc lamps to irradiate particles at the interogation point.				John Quinn			arc_lamp	graph_position_temporary	
