Old IRI	New ID	Label	Term Type
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_33	http://purl.obolibrary.org/obo/OBI_0001638	B cell epitope specific antigen inhibition of epitope:antibody binding measuring equilibrium dissociation constant (KD) approximated by IC50 [nM] assay	Class
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_32	http://purl.obolibrary.org/obo/OBI_0001639	B cell epitope specific Ig-mediated histamine release assay	Class
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_31	http://purl.obolibrary.org/obo/OBI_0001640	B cell epitope specific immunoglobulin-mediated antigen activation assay	Class
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_30	http://purl.obolibrary.org/obo/OBI_0001641	B cell epitope specific complement-dependent cytotoxicity assay	Class
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_29	http://purl.obolibrary.org/obo/OBI_0001642	B cell epitope specific antibody-dependent cellular cytotoxicity assay	Class
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_27	http://purl.obolibrary.org/obo/OBI_0001643	B cell epitope specific immunoglobulin-mediated neutralization assay	Class
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_28	http://purl.obolibrary.org/obo/OBI_0001644	B cell epitope specific opsonization assay	Class
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_25	http://purl.obolibrary.org/obo/OBI_0001645	B cell epitope specific calorimetry assay	Class
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_26	http://purl.obolibrary.org/obo/OBI_0001646	B cell epitope specific electron microscopy measuring 3D structure assay	Class
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_23	http://purl.obolibrary.org/obo/OBI_0001647	B cell epitope specific nuclear magnetic resonance (NMR) measuring 3D structure assay	Class
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_24	http://purl.obolibrary.org/obo/OBI_0001648	B cell epitope specific antibody cross blocking assay	Class
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_20	http://purl.obolibrary.org/obo/OBI_0001649	B cell epitope specific radio immuno assay (RIA)	Class
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_22	http://purl.obolibrary.org/obo/OBI_0001650	B cell epitope specific western blot analysis	Class
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_21	http://purl.obolibrary.org/obo/OBI_0001651	B cell epitope specific surface plasmon resonance (SPR) assay	Class
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_16	http://purl.obolibrary.org/obo/OBI_0001652	B cell epitope specific immuno staining assay	Class
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_17	http://purl.obolibrary.org/obo/OBI_0001653	B cell epitope specific immunoprecipitation assay	Class
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_18	http://purl.obolibrary.org/obo/OBI_0001654	B cell epitope specific mass spectrometry assay	Class
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_19	http://purl.obolibrary.org/obo/OBI_0001655	B cell epitope specific phage display assay	Class
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_12	http://purl.obolibrary.org/obo/OBI_0001656	B cell epitope specific electron microscopy assay	Class
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_13	http://purl.obolibrary.org/obo/OBI_0001657	B cell epitope specific ELISA	Class
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_14	http://purl.obolibrary.org/obo/OBI_0001658	B cell epitope specific ELISPOT	Class
http://purl.obolibrary.org/obo/obi.owl#MM_CLASS_15	http://purl.obolibrary.org/obo/OBI_0001659	B cell epitope specific flow cytometry assay	Class
