Old IRI	New ID	Label	Term Type
http://purl.obolibrary.org/obo/obi.owl/class_0143	http://purl.obolibrary.org/obo/OBI_0001855	Nimblegen	NamedIndividual
http://purl.obolibrary.org/obo/obi.owl/class_0144	http://purl.obolibrary.org/obo/OBI_0001856	Pacific Biosciences	NamedIndividual
http://purl.obolibrary.org/obo/obi.owl/class_0145	http://purl.obolibrary.org/obo/OBI_0001860	NanoString Technologies	NamedIndividual
http://purl.obolibrary.org/obo/obi.owl/class_0146	http://purl.obolibrary.org/obo/OBI_0001865	array	Class
http://purl.obolibrary.org/obo/obi.owl/class_0147	http://purl.obolibrary.org/obo/OBI_0001869	BeadChip	Class
http://purl.obolibrary.org/obo/obi.owl/class_0148	http://purl.obolibrary.org/obo/OBI_0001870	methylation BeadChip	Class
	http://purl.obolibrary.org/obo/OBI_0002000	Genome Analyzer IIx	Class
	http://purl.obolibrary.org/obo/OBI_0002001	HiSeq 2000	Class
	http://purl.obolibrary.org/obo/OBI_0002002	HiSeq 2500	Class
	http://purl.obolibrary.org/obo/OBI_0002003	MiSeq	Class
	http://purl.obolibrary.org/obo/OBI_0002004	Methylation 450K BeadChip	Class
	http://purl.obolibrary.org/obo/OBI_0002005	Methylation 27K BeadChip	Class
	http://purl.obolibrary.org/obo/OBI_0002006	1M-Duo Infinium HD BeadChip	Class
	http://purl.obolibrary.org/obo/OBI_0002007	SOLiD 3 Plus System	Class
	http://purl.obolibrary.org/obo/OBI_0002008	Mouse 385K Whole Genome CGH Tiling Array	Class
	http://purl.obolibrary.org/obo/OBI_0002009	Mouse 3x720K Whole Genome CGH Tiling Array	Class
	http://purl.obolibrary.org/obo/OBI_0002010	Human 3x720K Whole Genome CGH Tiling Array	Class
	http://purl.obolibrary.org/obo/OBI_0002011	Human 2.1M Whole-Genome CGH Tiling Array v2.0	Class
	http://purl.obolibrary.org/obo/OBI_0002012	PacBio RS II	Class
	http://purl.obolibrary.org/obo/OBI_0002013	nCounter Human V2 miRNA Expression array	Class
http://purl.obolibrary.org/obo/obi.owl/class_0149	http://purl.obolibrary.org/obo/OBI_0001871	LSRFortessa X-20	Class
http://purl.obolibrary.org/obo/obi.owl/class_0151	http://purl.obolibrary.org/obo/OBI_0001872	sequence assembly process	Class
http://purl.obolibrary.org/obo/obi.owl#number_of_errors	http://purl.obolibrary.org/obo/OBI_0001873	number of errors	Class
http://purl.obolibrary.org/obo/obi.owl#random_access_memory_size	http://purl.obolibrary.org/obo/OBI_0001874	random access memory size	Class
http://purl.obolibrary.org/obo/obi.owl#RAM	http://purl.obolibrary.org/obo/OBI_0001877	random access memory	Class
http://purl.obolibrary.org/obo/obi.owl#computation_run_time	http://purl.obolibrary.org/obo/OBI_0001913	computation run time	Class
http://purl.obolibrary.org/obo/obi.owl#genome_coverage	http://purl.obolibrary.org/obo/OBI_0001939	genome coverage	Class
http://purl.obolibrary.org/obo/obi.owl#N50	http://purl.obolibrary.org/obo/OBI_0001940	N50	Class
http://purl.obolibrary.org/obo/obi.owl#contig_N50	http://purl.obolibrary.org/obo/OBI_0001941	contig N50	Class
http://purl.obolibrary.org/obo/obi.owl/class_0154	http://purl.obolibrary.org/obo/OBI_0001942	grant agency	Class
http://purl.obolibrary.org/obo/obi.owl/class_0153	http://purl.obolibrary.org/obo/OBI_0001943	software pipeline	Class
http://purl.obolibrary.org/obo/obi.owl/class_0152	http://purl.obolibrary.org/obo/OBI_0001944	sequence annotation	Class
http://purl.obolibrary.org/obo/obi.owl#scaffold_N50	http://purl.obolibrary.org/obo/OBI_0001945	scaffold N50	Class
http://purl.obolibrary.org/obo/obi.owl#pcr_primer	http://purl.obolibrary.org/obo/OBI_0001946	pcr forward primer	Class
http://purl.obolibrary.org/obo/obi.owl#BCGO_0000023	http://purl.obolibrary.org/obo/OBI_0001947	sequence annotation provider	Class
http://purl.obolibrary.org/obo/obi.owl#BCGO_0000024	http://purl.obolibrary.org/obo/OBI_0001948	sequence assembly name	Class
http://purl.obolibrary.org/obo/obi.owl#BCGO_0000022	http://purl.obolibrary.org/obo/OBI_0001949	sequence annotation reporting role	Class
http://purl.obolibrary.org/obo/obi.owl#has_performer	http://purl.obolibrary.org/obo/OBI_0001950	has performer	ObjectProperty
http://purl.obolibrary.org/obo/obi.owl#pcr_reverse_primer	http://purl.obolibrary.org/obo/OBI_0001951	pcr reverse primer	Class
http://purl.obolibrary.org/obo/obi.owl/class_0170	http://purl.obolibrary.org/obo/OBI_0001952	flash freezing	Class
http://purl.obolibrary.org/obo/obi.owl/class_0169	http://purl.obolibrary.org/obo/OBI_0001953	freezing	Class
