Type	IRI	Status	Label
Class	http://purl.obolibrary.org/obo/CARO_0001008		gross anatomical part
Class	http://purl.obolibrary.org/obo/OBI_0000453	ready for release	measure function
Class	http://purl.obolibrary.org/obo/OBI_0000659	ready for release	specimen collection
Class	http://purl.obolibrary.org/obo/OBI_0000456	ready for release	material transformation objective
NamedIndividual	http://purl.obolibrary.org/obo/IAO_0000410		universal
Class	http://purl.obolibrary.org/obo/NCBITaxon_33154		Opisthokonta
Class	http://purl.obolibrary.org/obo/OBI_0000067	ready for release	evaluant role
Class	http://purl.obolibrary.org/obo/OBI_0001908	ready for release	testable hypothesis
Class	http://purl.obolibrary.org/obo/OBI_0000066	ready for release	investigation
Class	http://purl.obolibrary.org/obo/OBI_0001909	ready for release	conclusion based on data
AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0000232	ready for release	curator note
Class	http://purl.obolibrary.org/obo/OBI_0500026	ready for release	eligibility criterion
Class	http://purl.obolibrary.org/obo/OBI_0000953	ready for release	processed specimen
NamedIndividual	http://purl.obolibrary.org/obo/IAO_0000002		example to be eventually removed
Class	http://purl.obolibrary.org/obo/OBI_0000968	ready for release	device
AnnotationProperty	http://purl.obolibrary.org/obo/OBI_9991118	ready for release	IEDB alternative term
ObjectProperty	http://purl.obolibrary.org/obo/BFO_0000058		is concretized as
ObjectProperty	http://purl.obolibrary.org/obo/BFO_0000059		concretizes
Class	http://purl.obolibrary.org/obo/NCBITaxon_32523		Tetrapoda
Class	http://purl.obolibrary.org/obo/NCBITaxon_32524		Amniota
Class	http://purl.obolibrary.org/obo/OBI_0000471	ready for release	study design execution
ObjectProperty	http://purl.obolibrary.org/obo/BFO_0000052		inheres in
ObjectProperty	http://purl.obolibrary.org/obo/BFO_0000053		is bearer of
ObjectProperty	http://purl.obolibrary.org/obo/BFO_0000050		is part of
ObjectProperty	http://purl.obolibrary.org/obo/BFO_0000051		has part
ObjectProperty	http://purl.obolibrary.org/obo/BFO_0000056		participates in
ObjectProperty	http://purl.obolibrary.org/obo/BFO_0000057		has participant
ObjectProperty	http://purl.obolibrary.org/obo/BFO_0000054		is realized by
NamedIndividual	http://purl.obolibrary.org/obo/obi/2014-08-18/obi.owl		
ObjectProperty	http://purl.obolibrary.org/obo/BFO_0000055		realizes
AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0000115	ready for release	definition
Class	http://purl.obolibrary.org/obo/OBI_0000181	pending final vetting	population
AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0000116	ready for release	editor note
AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0000114		has curation status
AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0000119	ready for release	definition source
Class	http://purl.obolibrary.org/obo/OBI_0500000	ready for release	study design
AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0000117	ready for release	term editor
AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0000118	pending final vetting	alternative term
Class	http://purl.obolibrary.org/obo/OBI_0001928	ready for release	selection
Class	http://purl.obolibrary.org/obo/OBI_0000086	metadata complete	reagent role
AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0000111	ready for release	editor preferred label
Class	http://purl.obolibrary.org/obo/NCBITaxon_2759		Eukaryota
AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0000112	ready for release	example of usage
Class	http://purl.obolibrary.org/obo/CHEBI_23367		molecular entity
AnnotationProperty	http://purl.obolibrary.org/obo/OBI_0001847		
Class	http://purl.obolibrary.org/obo/OBI_0000272	ready for release	protocol
Class	http://purl.obolibrary.org/obo/OBI_0000275	ready for release	analyte role
