Source Name	Characteristics [OrganismPart]	Characteristics [BioSourceType]	Term Source REF	Characteristics [Organism]	Term Source REF	Characteristics [TargetedCellType]	Provider	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Term Source REF	Protocol REF	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Comment [Array Design URI]	Factor Value [OrganismPart]	Factor Value [CellType]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Comment [ArrayExpress Data Retrieval URI]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	Comment [Derived ArrayExpress Data Retrieval URI]
B	tonsil	fresh_sample	The MGED Ontology	Homo sapiens	NCBI Taxonomy	plasmacytoid dendritic cell	Lund University Hospital	P-TABM-57	B	P-TABM-60	B	total_RNA	P-TABM-59	B biotin	biotin	synthetic_RNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-EukGE-WS2v5	P-AFFY-6	PBA: B	A-AFFY-44	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&amp;aAccession=A-AFFY-44	tonsil	plasmacytoid dendritic cell	HYB:TABM:E-TABM-34:5	E-TABM-34-raw-cel-1202010102.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-34/E-TABM-34.raw.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1202393800	Affymetrix:Protocol:ExpressionStat	E-TABM-34-processed-data-1343526811.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-34/E-TABM-34.processed.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1202393800
L	blood	fresh_sample	The MGED Ontology	Homo sapiens	NCBI Taxonomy	plasmacytoid dendritic cell	Lund University Hospital	P-TABM-58	L	P-TABM-60	L	total_RNA	P-TABM-59	L biotin	biotin	synthetic_RNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-EukGE-WS2v5	P-AFFY-6	PBA: L	A-AFFY-44	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&amp;aAccession=A-AFFY-44	blood	plasmacytoid dendritic cell	HYB:TABM:E-TABM-34:16	E-TABM-34-raw-cel-1202010855.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-34/E-TABM-34.raw.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1202393800	Affymetrix:Protocol:ExpressionStat	E-TABM-34-processed-data-1343526811.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-34/E-TABM-34.processed.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1202393800
A	tonsil	fresh_sample	The MGED Ontology	Homo sapiens	NCBI Taxonomy	plasmacytoid dendritic cell	Lund University Hospital	P-TABM-57	A	P-TABM-60	A	total_RNA	P-TABM-59	A biotin	biotin	synthetic_RNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-EukGE-WS2v5	P-AFFY-6	PBA: A	A-AFFY-44	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&amp;aAccession=A-AFFY-44	tonsil	plasmacytoid dendritic cell	HYB:TABM:E-TABM-34:3	E-TABM-34-raw-cel-1202010008.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-34/E-TABM-34.raw.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1202393800	Affymetrix:Protocol:ExpressionStat	E-TABM-34-processed-data-1343526811.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-34/E-TABM-34.processed.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1202393800
P	blood	fresh_sample	The MGED Ontology	Homo sapiens	NCBI Taxonomy	BDCA3+ dendritic cell	Lund University Hospital	P-TABM-58	P	P-TABM-60	P	total_RNA	P-TABM-59	P biotin	biotin	synthetic_RNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-EukGE-WS2v5	P-AFFY-6	PBA: P	A-AFFY-44	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&amp;aAccession=A-AFFY-44	blood	BDCA3+ dendritic cell	HYB:TABM:E-TABM-34:20	E-TABM-34-raw-cel-1202011177.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-34/E-TABM-34.raw.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1202393800	Affymetrix:Protocol:ExpressionStat	E-TABM-34-processed-data-1343526811.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-34/E-TABM-34.processed.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1202393800
H	tonsil	fresh_sample	The MGED Ontology	Homo sapiens	NCBI Taxonomy	BDCA3+ dendritic cell	Lund University Hospital	P-TABM-57	H	P-TABM-60	H	total_RNA	P-TABM-59	H biotin	biotin	synthetic_RNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-EukGE-WS2v5	P-AFFY-6	PBA: H	A-AFFY-44	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&amp;aAccession=A-AFFY-44	tonsil	BDCA3+ dendritic cell	HYB:TABM:E-TABM-34:11	E-TABM-34-raw-cel-1202010525.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-34/E-TABM-34.raw.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1202393800	Affymetrix:Protocol:ExpressionStat	E-TABM-34-processed-data-1343526811.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-34/E-TABM-34.processed.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1202393800
T	blood	fresh_sample	The MGED Ontology	Homo sapiens	NCBI Taxonomy	CD16+ dendritic	Lund University Hospital	P-TABM-58	T	P-TABM-60	T	total_RNA	P-TABM-59	T biotin	biotin	synthetic_RNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-EukGE-WS2v5	P-AFFY-6	PBA: T	A-AFFY-44	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&amp;aAccession=A-AFFY-44	blood	CD16+ dendritic	HYB:TABM:E-TABM-34:24	E-TABM-34-raw-cel-1202011476.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-34/E-TABM-34.raw.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1202393800	Affymetrix:Protocol:ExpressionStat	E-TABM-34-processed-data-1343526811.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-34/E-TABM-34.processed.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1202393800
M	blood	fresh_sample	The MGED Ontology	Homo sapiens	NCBI Taxonomy	BDCA1+ dendritic cell	Lund University Hospital	P-TABM-58	M	P-TABM-60	M	total_RNA	P-TABM-59	M biotin	biotin	synthetic_RNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-EukGE-WS2v5	P-AFFY-6	PBA: M	A-AFFY-44	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&amp;aAccession=A-AFFY-44	blood	BDCA1+ dendritic cell	HYB:TABM:E-TABM-34:17	E-TABM-34-raw-cel-1202010941.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-34/E-TABM-34.raw.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1202393800	Affymetrix:Protocol:ExpressionStat	E-TABM-34-processed-data-1343526811.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-34/E-TABM-34.processed.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1202393800
G	tonsil	fresh_sample	The MGED Ontology	Homo sapiens	NCBI Taxonomy	BDCA3+ dendritic cell	Lund University Hospital	P-TABM-57	G	P-TABM-60	G	total_RNA	P-TABM-59	G biotin	biotin	synthetic_RNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-EukGE-WS2v5	P-AFFY-6	PBA: G	A-AFFY-44	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&amp;aAccession=A-AFFY-44	tonsil	BDCA3+ dendritic cell	HYB:TABM:E-TABM-34:10	E-TABM-34-raw-cel-1202010480.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-34/E-TABM-34.raw.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1202393800	Affymetrix:Protocol:ExpressionStat	E-TABM-34-processed-data-1343526811.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-34/E-TABM-34.processed.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1202393800
I	tonsil	fresh_sample	The MGED Ontology	Homo sapiens	NCBI Taxonomy	BDCA3+ dendritic cell	Lund University Hospital	P-TABM-57	I	P-TABM-60	I	total_RNA	P-TABM-59	I biotin	biotin	synthetic_RNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-EukGE-WS2v5	P-AFFY-6	PBA: I	A-AFFY-44	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&amp;aAccession=A-AFFY-44	tonsil	BDCA3+ dendritic cell	HYB:TABM:E-TABM-34:12	E-TABM-34-raw-cel-1202010616.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-34/E-TABM-34.raw.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1202393800	Affymetrix:Protocol:ExpressionStat	E-TABM-34-processed-data-1343526811.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-34/E-TABM-34.processed.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1202393800
U	blood	fresh_sample	The MGED Ontology	Homo sapiens	NCBI Taxonomy	CD16+ dendritic	Lund University Hospital	P-TABM-58	U	P-TABM-60	U	total_RNA	P-TABM-59	U biotin	biotin	synthetic_RNA	The MGED Ontology	Affymetrix:Protocol:Hybridization-EukGE-WS2v5	P-AFFY-6	PBA: U	A-AFFY-44	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&amp;aAccession=A-AFFY-44	blood	CD16+ dendritic	HYB:TABM:E-TABM-34:25	E-TABM-34-raw-cel-1202011513.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-34/E-TABM-34.raw.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1202393800	Affymetrix:Protocol:ExpressionStat	E-TABM-34-processed-data-1343526811.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-34/E-TABM-34.processed.zip	http://www.ebi.ac.uk/arrayexpress/query/dataselection?expid=1202393800
