class	label	URI	parent_class	parent_label	parent_URI	alternative_term	alternative_term	example_of_usage	example_of_usage	example_of_usage	example_of_usage	owl:equivalentClass	definition_citation	definition_citation	branch	rdfs:comment	definition	editor_note	editor_note	definition_editor	definition_editor	definition_editor	definition_editor	definition_editor	definition_editor	definition_editor	definition_editor	definition_editor	definition_editor	preferred_term	curation_status
OBI_100000	biomaterial	http://obi.sourceforge.net/ontology/OBI.owl	_defined_material		http://obi.sourceforge.net/ontology/OBI.owl																										
OBI_100039	fragment derived from protein	http://obi.sourceforge.net/ontology/OBI.owl	_unclassified		http://obi.sourceforge.net/ontology/OBI.owl			the peptide with sequence SIINFEKL, which is eluted from a cell expressing hen egg lysozyme					IEDB				is a biomaterial which is derived from a  protein	original term: protein fragment split into synthetic polypeptide and fragment derived from protein\nTHE DEFINITION OF THIS SUGGESTS WE COVER THIS ALREADY IN PEPTIDE/POLYPETIDE. DO WE NEED THIS AND CAN WE DEAL WITH IT IN SOME OTHER WAY?  JAMES		Bjoern Peters										fragment derived from protein	definition_incomplete
OBI_1000042	peptide construct	http://obi.sourceforge.net/ontology/OBI.owl	OBI_100059		http://obi.sourceforge.net/ontology/OBI.owl			Multiple Antigenic Peptide (MAP) construct containing T and B cell epitopes from p. falciparum congugated to a central glycin					IEDB				is a biomaterial containing a number of peptides conjugated together in a non-linear fashion			Bjoern Peters										peptide construct	definition_incomplete
OBI_100045	liquid chemical solution	http://obi.sourceforge.net/ontology/OBI.owl	OBI_100044		http://obi.sourceforge.net/ontology/OBI.owl			PBS, RPMI									a liquid solvent containing one or more solutes	added as hierarchy term		Bjoern Peters										liquid chemical solution	definition_incomplete
OBI_100060	cell culture	http://obi.sourceforge.net/ontology/OBI.owl	OBI_100059		http://obi.sourceforge.net/ontology/OBI.owl			Jurkat cell line in RPMI w/ 10% FCS. PBMCs were purified from blood sample and put into tissue culture media.									population of cells and cell culture medium maintained in vitro. Can be homogeneous (monoclonal),  heterogenous (oligoclonal, polyclonal)	added as hierarchy term		Bjoern Peters (added term)										cell culture	definition_incomplete
OBI_100075	plant	http://obi.sourceforge.net/ontology/OBI.owl	OBI_100030		http://obi.sourceforge.net/ontology/OBI.owl			tree					http://www.answers.com/topic/plant?cat=biz-fin				Any of various photosynthetic, eukaryotic, multicellular organisms of the kingdom Plantae characteristically producing embryos, containing chloroplasts, having cellulose cell walls, and lacking the power of locomotion.			James Malone	Melanie Courtot									plant	definition_incomplete
OBI_100077	fungus	http://obi.sourceforge.net/ontology/OBI.owl	OBI_100030		http://obi.sourceforge.net/ontology/OBI.owl			Saccharomyces cerevisiae					http://en.wikipedia.org/wiki/Fungus				A fungus is any eukaryotic organism that is a member of the kingdom Fungi. The fungi are heterotrophic organisms characterized by a chitinous cell wall, and in the majority of species, filamentous growth as multicellular hyphae forming a mycelium; some fungal species also grow as single cells.			Melanie Courtot	James Malone									fungus	definition_incomplete
OBI_100050	?organism status	http://obi.sourceforge.net/ontology/OBI.owl	OBI_100080		http://obi.sourceforge.net/ontology/OBI.owl			E.g. premortem or postmortem					MO				Organism_status is the stage premortem or postmortem at which the sample was processed for extraction of biomaterials.	THIS IS PROBABLY A QUALITY.  JAMES		Tina Boussard										?organism status	definition_incomplete
OBI_100024	DNA polymerase	http://obi.sourceforge.net/ontology/OBI.owl	OBI_100023		http://obi.sourceforge.net/ontology/OBI.owl			Taq polymerase is a commonly used DNA polymerase to copy DNA templates in PCR reactions.					http://en.wikipedia.org/wiki/DNA_polymerase				A DNA polymerase is an enzyme that assists in DNA replication. Such enzymes catalyze the polymerization of deoxyribonucleotides alongside a DNA strand, which they "read" and use as a template. The newly-polymerized molecule is complementary to the template strand and identical to the template's partner strand.			Melanie Courtot										DNA polymerase	definition_incomplete
OBI_100067	bronchial aveolar lavage	http://obi.sourceforge.net/ontology/OBI.owl	OBI_100059		http://obi.sourceforge.net/ontology/OBI.owl	BAL		solution containing lung derived T cells, eosinophils, and TNFa.					IEDB				Group of biomaterials present in the bronchial aveolar space of an organism which are collected through lavage including the reagents used to for the lavage process, organisms, cells, and cellular secretions present in the bronchial aveolar space.			Bjoern Peters										bronchial aveolar lavage	definition_incomplete
