class	label	URI	parent_class	parent_label	parent_URI	OBI_0000283	OBI_0000291	OBI_0000291	OBI_0000279	OBI_0000279	OBI_0000279	OBI_0000279	OBI_0000279	OBI_0000279	OBI_0000275	OBI_0000275	OBI_0000275	OBI_0000287	OBI_0000287	OBI_0000287	OBI_0000287	OBI_0000288	rdfs:comment	OBI_0000281	OBI_0000284	OBI_0000277	OBI_0000274	OBI_0000274	OBI_0000274	OBI_0000274	OBI_0000274	OBI_0000274	OBI_0000274	OBI_0000274	OBI_0000274	OBI_0000274	OBI_0000285	OBI_0000286	OBI_0000286	OBI_0000286	OBI_0000286
OBI_0302731	buffer role	http://purl.obofoundry.org/obo/OBI_0302731	Role		http://www.ifomis.org/bfo/1.1/snap#Role		buffer role is a role played by an entity which exhibits a dampening action, stabilizing action and preventing dramatic changes in response to mild to moderate variations		OBI									PMID: 18266528.J Fam Psychol. 2008 Feb;22(1):11-20.A longitudinal investigation of stress spillover in marriage: does spousal support adequacy buffer the effects?				buffer					Philippe Rocca-Serra														
OBI_0400137	cytometer	http://purl.obofoundry.org/obo/OBI_0400137	OBI_0400003		http://purl.obofoundry.org/obo/OBI_0400003		A cytometer is an instrument for counting and measuring cells.		http://medical.merriam-webster.com/medical/cytometer													cytometer					Melanie Courtot														
OBI_0000114	clinical laboratory role	http://purl.obofoundry.org/obo/OBI_0000114	OBI_0000116		http://purl.obofoundry.org/obo/OBI_0000116		Clinical laboratory is a worker role involved in carrying out assay protocols on specimens derived from a study; this activity occurs outside the study timeline		source pending						CDISC definition:  laboratory (clinical). A laboratory providing analyses of samples collected in clinical care or research.			example_of_usage to be added				Clinical laboratory					Jennifer Fostel														
OBI_0000015	biological_feature_identification_objective	http://purl.obofoundry.org/obo/OBI_0000015	OBI_0000217		http://purl.obofoundry.org/obo/OBI_0000217		Biological_feature_identification_objective is an objective role carried out by the proposition defining the aim of a study designed to examine or characterize a particular biological feature.		source pending									example_of_usage to be added				biological_feature_identification_objective					Jennifer Fostel														
OBI_0000077	role of being member of special population	http://purl.obofoundry.org/obo/OBI_0000077	OBI_0000247		http://purl.obofoundry.org/obo/OBI_0000247		Special population is an eligible population role played by a population with characteristics that make it especially important to target for enrollment		source pending						CDISC Definition:  special populations. Subsets of study populations of particular interest included in clinical trials to ensure that their specific characteristics are considered in interpretation of data [e.g., geriatric].			Geriatric subset of eligible population				Special population					Jennifer Fostel														
OBI_0000104	protocol application role	http://purl.obofoundry.org/obo/OBI_0000104	OBI_0000107		http://purl.obofoundry.org/obo/OBI_0000107																																				
OBI_0000062	Environmental characteristic variable	http://purl.obofoundry.org/obo/OBI_0000062	OBI_0000165		http://purl.obofoundry.org/obo/OBI_0000165		Environmental characteristic variable is a direct experimental factor (role) in which the component which varies is a part of the environment or the environmental history of study participants		source pending									Varying the collection location for environmental samples in study of chromium levels and effects				Environmental characteristic variable					Jennifer Fostel														
OBI_0600047	sequencing	http://purl.obofoundry.org/obo/OBI_0600047	OBI_0000070		http://purl.obofoundry.org/obo/OBI_0000070		the use of a chemical or biochemical means to infer the sequence of a biomaterial		OBI branch derived									The use of the Sanger method of DNA sequencing to determine the order of the nucleotides in a DNA template				sequencing					PlanAndPlannedProcess Branch														
OBI_0200110	s transformation	http://purl.obofoundry.org/obo/OBI_0200110	OBI_0200000		http://purl.obofoundry.org/obo/OBI_0200000		An s transformation is a data transformation obtained by applying the function S described in what follows to a (one dimensional) real number input. S(x)=T*exp(w-m)*(exp(x-w)-(p^2)*exp((w-x)/p)+p^2-1) if x>=w, S(x)=-S(w-x) otherwise; where exp denotes an exponential_transformations, 'p^' denotes the exponential_transformation with base p; T, w, m, p are real constants with T, m, and p positive and w non-negative, and where w and p are related by w=2p*ln(p)(p+1).		WEB: http://flowcyt.sourceforge.net/gating/latest.pdf									This type of transformation is typically used in flow cytometry.				s transformation					Joseph Spliden	Ryan Brinkman	Elisabetta Manduchi												
OBI_0000265	report table	http://purl.obofoundry.org/obo/OBI_0000265	OBI_0000001		http://purl.obofoundry.org/obo/OBI_0000001		A report table is a report display element consisting of a matrix of cells layed out in a grid, some set of which are filled with some information content		group:OBI													report table					person:Allyson Lister	person:Alan Ruttenberg													
OBI_0100082	_move to relations?	http://purl.obofoundry.org/obo/OBI_0100082	ObsoleteClass		http://www.geneontology.org/formats/oboInOwl#ObsoleteClass		All classes yet to be suitably placed in a hierarchy		source pending									example_of_usage to be added					this class should eventually be removed				James Malone														
OBI_0500002	repeated measure design	http://purl.obofoundry.org/obo/OBI_0500002	OBI_0000115		http://purl.obofoundry.org/obo/OBI_0000115		A repeated measure design is a study design which use the same individuals and exposure them to a set of conditions. The effect of order and practice can be confounding factor in such designs		http://www.holah.karoo.net/experimentaldesigns.htm						MSI			PMID: 10959922.J Biopharm Stat. 2000 Aug;10(3):433-45.Equivalence in test assay method comparisons for the repeated-measure, matched-pair design in medical device studies: statistical considerations.				repeated measure design					PlanAndPlannedProcess Branch														
OBI_0100004	diplotype	http://purl.obofoundry.org/obo/OBI_0100004	OBI_0100002		http://purl.obofoundry.org/obo/OBI_0100002		A diplotype is the association of two alleles of a haplotype (or simple gene allele) in a diploid organism.		Tina Boussard/PharmGBK						PRS: see reference, it stands for disomic genotype and it is also referred to as " The combination of two haplotypes is called the diplotype" from PMID:15274749 even though no details are given on the type of combinaition	MC: is diplotype a diploid genotype? (cf haplotype)		PMID: 11842208.  Proc Natl Acad Sci U S A. 2002 Feb 19;99(4):2228-33. "...Theory to estimate the covariance D for a random sample of haplotypes or disomic genotypes (diplotypes) may be extended to the association probability...."\nPMID:15274749. BMC Genet. 2004 Jul 26;5:20."..The combination of two haplotypes is called the diplotype..."\nTCCG/CCTG at the ADH1B				diplotype					Helen Parkinson	Susanna Sansone	Philippe Rocca-Serra									haplotype pair	disomic genotype		
OBI_0000098	_biomaterial(deprecated)	http://purl.obofoundry.org/obo/OBI_0000098	OBI_0000141		http://purl.obofoundry.org/obo/OBI_0000141		A biomaterial entity is an object of biological origin. definition_source: OBI.								Domain of an object property "has_role_which_can_only_be_played_by_biomaterial_entity"  in obi before split, Range: ?role_which_can_only_be_played_by_biomaterial_entity (LF 040907).	call Jan11 2008: Proposal to keep Biomaterial as name of the branch, but with the following definition: object and has_role (sample role or reagent role).. While Device would be an object and ((has_role some instrument_role) or (has_part some (has_role some instrument_role)))		example_of_usage to be added				_biomaterial(deprecated)				_biomaterial(deprecated)	Daniel Schober	Susanna Sansone	Bjoern Peters	Tina Boussard	Melanie Courtot	James Malone	Alan Ruttenberg	Philippe Rocca-Serra	Helen Parkinson	Jennifer Fostel					
OBI_0000181	population	http://purl.obofoundry.org/obo/OBI_0000181	OBI_0302714		http://purl.obofoundry.org/obo/OBI_0302714		a population is a collection of individuals from the same taxonomic class living, counted or sampled at a particular site or in a particular area		adapted from Oxford English Dictionnary						rem1: collection somehow always involve a selection process			PMID12564891. Environ Sci Technol. 2003 Jan 15;37(2):223-8. Effects of historic PCB exposures on the reproductive success of the Hudson River striped bass population.				population					Philippe Rocca-Serra														
OBI_0600019	non-specific labeling	http://purl.obofoundry.org/obo/OBI_0600019	OBI_0600038		http://purl.obofoundry.org/obo/OBI_0600038		The addition of a reagent labeling the entire input biomaterial enabling future detection of the output biomaterial		OBI branch derived						definition blessed by Allyson, Bjoern, Jay & Randi			The addition of phycoerytherin label to an anti-CD8 antibody, to label all antibodies.				non-specific labeling					PlanAndPlannedProcess Branch														
OBI_0000191	gaseous_state	http://purl.obofoundry.org/obo/OBI_0000191	OBI_0000302		http://purl.obofoundry.org/obo/OBI_0000302		A gaseous state is a state in which the entity is distinguished from the solid and liquid states by: relatively low density and viscosity; relatively great expansion and contraction with changes in pressure and temperature; the ability to diffuse readily; and the spontaneous tendency to become distributed uniformly throughout any container. definition_source: http://wordnet.princeton.edu/perl/webwn?s=gaseous%20state, Jan 3, 2007.																																		
OBI_0000344	plan	http://purl.obofoundry.org/obo/OBI_0000344	OBI_0000337		http://purl.obofoundry.org/obo/OBI_0000337		a plan is a specification of a process that is realized by an actor to achieve the objective specified as part of the plan	a plan is a set of instructions that specify how an objective should be achieved	OBI branch derived						Part of range for an object property is_potentially_realizable_as in obi before split (LF 040907)			PMID: 18323827.Nat Med. 2008 Mar;14(3):226.New plan proposed to help resolve conflicting medical advice.				plan					PlanAndPlannedProcess Branch														
OBI_0000147	role of being member of recruited population	http://purl.obofoundry.org/obo/OBI_0000147	OBI_0000247		http://purl.obofoundry.org/obo/OBI_0000247		Recruited population is an eligible population role played by the set of members who have signed the informed consent form		source pending						CDISC definition: The group of eligible participants that agreed to participate in the trial and signed the informed consent.			Group of people who have agreed to participate, before they are completely enrolled				Recruited population					Jennifer Fostel														
OBI_0000096	protocol_testing_objective	http://purl.obofoundry.org/obo/OBI_0000096	OBI_0000208		http://purl.obofoundry.org/obo/OBI_0000208		Protocol_testing_objective is a methodology_testing_objective role describing a study designed to examine the effects of using different protocols.		source pending									example_of_usage to be added				protocol_testing_objective					Jennifer Fostel														
OBI_0600050	specific enzymatic cleavage	http://purl.obofoundry.org/obo/OBI_0600050	OBI_0000231		http://purl.obofoundry.org/obo/OBI_0000231		a protocol application to digest the fraction of input material that is susceptible to that enzyme		OBI branch derived									The use of a protease to digest a protein into peptides				specific enzymatic cleavage					PERSON:Kevin Clancy														
OBI_0200026	total intensity transformation single	http://purl.obofoundry.org/obo/OBI_0200026	OBI_0200000		http://purl.obofoundry.org/obo/OBI_0200000		A total intensity transformation single is a data transformation that takes as input an n-dimensional (real) vector and multiplies each component of this vector by a coefficient, where the coefficient is obtained by taking the sum of the input components or of a subset of these, multiplied by a constant of choice.		OTHER: Adjusted from MGED Ontology						Note that if the word "sum" is replaced by the word "mean" in the definition, the resulting definition is equivalent.			This can be used as a simple normalization method for expression microarray assays. For example, each intensity from a one-channel microarray assay is multiplied by a constant so that the output mean intensity over the microarray equals a desired target T (the multiplicative constant in this case is the T/(mean intensity)).				total intensity transformation single					Melanie Courtot	James Malone	Helen Parkinson	Elisabetta Manduchi											
